City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Jacareacanga,BR,-6.2222,-57.7528,86.27,61,89,3.44,overcast clouds
291,Klaksvik,FO,62.2266,-6.589,47.32,87,91,20.62,overcast clouds
292,Waingapu,ID,-9.6567,120.2641,78.4,86,85,7.31,overcast clouds
293,Vila Velha,BR,-20.3297,-40.2925,78.94,72,100,11.5,overcast clouds
294,Qaqortoq,GL,60.7167,-46.0333,24.85,51,78,0.67,broken clouds
295,Ilulissat,GL,69.2167,-51.1,0.43,94,100,6.46,light snow
296,Bangkal,PH,6.0667,121.0667,77.74,85,83,2.64,broken clouds
297,Igrim,RU,63.1906,64.4162,18.21,93,82,7.23,broken clouds
298,Russell,US,32.3502,-85.1999,76.91,46,0,16.11,clear sky
299,Talkha,EG,31.0539,31.3779,44.89,86,78,5.57,broken clouds
300,Souillac,MU,-20.5167,57.5167,80.98,94,40,8.05,scattered clouds
301,Sigli,ID,5.3848,95.9609,79.99,80,96,3.74,light rain
302,Tashtyp,RU,52.7939,89.8983,24.22,94,100,4.99,overcast clouds
303,Kurya,RU,51.6003,82.2888,28.62,96,100,16.71,snow
304,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,93,75,4.61,mist
305,Halifax,CA,44.6453,-63.5724,36.68,51,75,25.32,broken clouds
306,Te Anau,NZ,-45.4167,167.7167,54.01,89,9,0.78,clear sky
307,Tuatapere,NZ,-46.1333,167.6833,55.08,87,2,2.86,clear sky
308,Port Hedland,AU,-20.3167,118.5667,89.65,51,99,8.05,light rain
309,Mezen,RU,65.8522,44.24,31.42,77,87,15.26,overcast clouds
310,Thurso,GB,58.5927,-3.5259,46.65,76,54,8.7,broken clouds
311,Lebedyn,UA,50.5852,34.4849,34.66,92,5,4.29,clear sky
312,Mecca,SA,21.4267,39.8261,77.54,36,2,5.14,clear sky
313,Catamarca,AR,-28.4696,-65.7852,84.78,47,6,5.01,clear sky
314,Cabo San Lucas,MX,22.8909,-109.9124,83.61,51,0,1.01,clear sky
315,Anloga,GH,5.7947,0.8973,83.89,79,100,15.41,overcast clouds
316,Boddam,GB,57.4667,-1.7833,54.43,89,33,14.0,scattered clouds
317,Port Blair,IN,11.6667,92.75,78.84,89,40,2.3,mist
318,Mahebourg,MU,-20.4081,57.7,82.26,94,40,8.05,scattered clouds
319,Huarmey,PE,-10.0681,-78.1522,76.28,73,9,12.3,clear sky
320,Derzhavinsk,KZ,51.1,66.3167,13.89,98,81,10.22,broken clouds
321,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,19.57,scattered clouds
322,Broome,US,42.2506,-75.833,49.01,29,0,9.22,clear sky
323,Emba,KZ,48.8264,58.1442,4.69,100,27,3.83,scattered clouds
324,General Roca,AR,-39.0333,-67.5833,79.63,20,47,10.92,scattered clouds
325,Cherskiy,RU,68.75,161.3,12.25,85,40,8.86,scattered clouds
326,Willowmore,ZA,-33.2926,23.4895,74.14,45,4,12.26,clear sky
327,Nampula,MZ,-15.1165,39.2666,76.95,78,0,4.61,clear sky
328,Songjianghe,CN,42.1859,127.479,23.58,84,100,4.21,overcast clouds
329,Tandil,AR,-37.3217,-59.1332,78.89,37,8,8.52,clear sky
330,The Valley,AI,18.217,-63.0578,84.06,65,40,16.11,scattered clouds
331,Port Macquarie,AU,-31.4333,152.9167,59.9,94,72,0.0,broken clouds
332,La Troncal,EC,-2.4,-79.3333,85.14,79,64,4.23,light rain
333,Ruiselede,BE,51.0572,3.3788,62.46,64,1,4.0,clear sky
334,Lipari,IT,38.4674,14.954,54.21,48,0,7.02,clear sky
335,Bagotville,AU,-28.9833,153.4167,63.86,99,3,4.54,clear sky
336,Presidente Medici,BR,-11.1753,-61.9014,84.58,72,79,3.69,broken clouds
337,Grand Baie,MU,-20.0182,57.5802,82.45,83,72,3.0,broken clouds
338,Port Augusta,AU,-32.5,137.7667,64.15,79,17,13.42,few clouds
339,Inuvik,CA,68.3499,-133.7218,-4.94,74,100,6.91,overcast clouds
340,Le Pradet,FR,43.1066,6.0172,54.37,48,0,10.36,clear sky
341,Nanortalik,GL,60.1432,-45.2371,25.74,64,92,4.79,overcast clouds
342,Sturgeon Bay,US,44.8342,-87.377,39.56,60,20,9.22,few clouds
343,Malanje,AO,-9.5402,16.341,65.91,95,71,7.9,moderate rain
